# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
sun;600;2023-08-04 02:20:01 UTC;2;0.05;0.00;0.04;0.05;0.00;0.00;0.00;0.00;0.00;99.86
sun;600;2023-08-04 02:20:01 UTC;3;0.05;0.00;0.04;0.01;0.00;0.00;0.00;0.00;0.00;99.91
sun;599;2023-08-04 02:30:00 UTC;-1;0.03;0.00;0.06;0.02;0.00;0.00;0.00;0.00;0.00;99.90
sun;599;2023-08-04 02:30:00 UTC;0;0.01;0.00;0.08;0.00;0.00;0.00;0.00;0.00;0.00;99.90
sun;599;2023-08-04 02:30:00 UTC;1;0.01;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;99.93
sun;599;2023-08-04 02:30:00 UTC;2;0.04;0.00;0.04;0.03;0.00;0.00;0.00;0.00;0.00;99.89
sun;599;2023-08-04 02:30:00 UTC;3;0.05;0.00;0.05;0.03;0.00;0.00;0.00;0.00;0.00;99.88
sun;602;2023-08-04 02:40:01 UTC;-1;0.03;0.00;0.06;0.02;0.00;0.00;0.00;0.00;0.00;99.89
sun;602;2023-08-04 02:40:01 UTC;0;0.01;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.88
sun;602;2023-08-04 02:40:01 UTC;1;0.01;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.94
sun;602;2023-08-04 02:40:01 UTC;2;0.05;0.00;0.05;0.03;0.00;0.00;0.00;0.00;0.00;99.86
sun;602;2023-08-04 02:40:01 UTC;3;0.05;0.00;0.04;0.03;0.00;0.00;0.00;0.00;0.00;99.88
sun;599;2023-08-04 02:50:00 UTC;-1;0.03;0.02;0.07;0.02;0.00;0.00;0.00;0.00;0.00;99.86
sun;599;2023-08-04 02:50:00 UTC;0;0.01;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.95
sun;599;2023-08-04 02:50:00 UTC;1;0.02;0.07;0.10;0.01;0.00;0.00;0.00;0.00;0.00;99.81
sun;599;2023-08-04 02:50:00 UTC;2;0.05;0.00;0.08;0.04;0.00;0.00;0.00;0.00;0.00;99.82
sun;599;2023-08-04 02:50:00 UTC;3;0.04;0.00;0.05;0.04;0.00;0.00;0.00;0.00;0.00;99.87
sun;600;2023-08-04 03:00:01 UTC;-1;0.03;0.00;0.06;0.02;0.00;0.00;0.00;0.00;0.00;99.90
sun;600;2023-08-04 03:00:01 UTC;0;0.01;0.00;0.12;0.00;0.00;0.00;0.00;0.00;0.00;99.86
sun;600;2023-08-04 03:00:01 UTC;1;0.01;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.94
sun;600;2023-08-04 03:00:01 UTC;2;0.03;0.00;0.04;0.04;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-04 03:00:01 UTC;3;0.05;0.00;0.03;0.02;0.00;0.00;0.00;0.00;0.00;99.89
sun;601;2023-08-04 03:10:01 UTC;-1;0.03;0.00;0.07;0.02;0.00;0.00;0.00;0.00;0.00;99.88
sun;601;2023-08-04 03:10:01 UTC;0;0.02;0.00;0.03;0.03;0.00;0.00;0.00;0.00;0.00;99.93
sun;601;2023-08-04 03:10:01 UTC;1;0.01;0.00;0.07;0.01;0.00;0.00;0.00;0.00;0.00;99.90
sun;601;2023-08-04 03:10:01 UTC;2;0.06;0.00;0.11;0.03;0.00;0.00;0.00;0.00;0.00;99.81
sun;601;2023-08-04 03:10:01 UTC;3;0.03;0.00;0.05;0.00;0.00;0.00;0.00;0.00;0.00;99.91
sun;600;2023-08-04 03:20:01 UTC;-1;0.03;0.00;0.06;0.02;0.00;0.00;0.00;0.00;0.00;99.90
sun;600;2023-08-04 03:20:01 UTC;0;0.01;0.00;0.06;0.01;0.00;0.00;0.00;0.00;0.00;99.92
sun;600;2023-08-04 03:20:01 UTC;1;0.03;0.00;0.08;0.03;0.00;0.00;0.00;0.00;0.00;99.86
sun;600;2023-08-04 03:20:01 UTC;2;0.03;0.00;0.05;0.03;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-04 03:20:01 UTC;3;0.04;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.91
sun;599;2023-08-04 03:30:00 UTC;-1;0.03;0.00;0.06;0.02;0.00;0.00;0.00;0.00;0.00;99.90
sun;599;2023-08-04 03:30:00 UTC;0;0.01;0.00;0.07;0.00;0.00;0.00;0.00;0.00;0.00;99.92
sun;599;2023-08-04 03:30:00 UTC;1;0.01;0.00;0.08;0.00;0.00;0.00;0.00;0.00;0.00;99.91
sun;599;2023-08-04 03:30:00 UTC;2;0.05;0.00;0.05;0.05;0.00;0.00;0.00;0.00;0.00;99.85
sun;599;2023-08-04 03:30:00 UTC;3;0.04;0.00;0.03;0.02;0.00;0.00;0.00;0.00;0.00;99.90
sun;602;2023-08-04 03:40:02 UTC;-1;0.03;0.00;0.06;0.02;0.00;0.00;0.00;0.00;0.00;99.88
sun;602;2023-08-04 03:40:02 UTC;0;0.02;0.00;0.06;0.01;0.00;0.00;0.00;0.00;0.00;99.91
sun;602;2023-08-04 03:40:02 UTC;1;0.01;0.00;0.06;0.01;0.00;0.00;0.00;0.00;0.00;99.91
sun;602;2023-08-04 03:40:02 UTC;2;0.05;0.00;0.07;0.04;0.00;0.00;0.00;0.00;0.00;99.83
sun;602;2023-08-04 03:40:02 UTC;3;0.04;0.00;0.06;0.01;0.00;0.00;0.00;0.00;0.00;99.89
sun;599;2023-08-04 03:50:01 UTC;-1;0.03;0.00;0.06;0.02;0.00;0.00;0.00;0.00;0.00;99.89
sun;599;2023-08-04 03:50:01 UTC;0;0.01;0.00;0.02;0.03;0.00;0.00;0.00;0.00;0.00;99.93
sun;599;2023-08-04 03:50:01 UTC;1;0.02;0.00;0.06;0.05;0.00;0.00;0.00;0.00;0.00;99.88
sun;599;2023-08-04 03:50:01 UTC;2;0.05;0.00;0.13;0.01;0.00;0.00;0.00;0.00;0.00;99.81
sun;599;2023-08-04 03:50:01 UTC;3;0.04;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.94
sun;600;2023-08-04 04:00:01 UTC;-1;0.02;0.00;0.06;0.02;0.00;0.00;0.00;0.00;0.00;99.90
sun;600;2023-08-04 04:00:01 UTC;0;0.02;0.00;0.06;0.05;0.00;0.00;0.00;0.00;0.00;99.87
sun;600;2023-08-04 04:00:01 UTC;1;0.02;0.00;0.08;0.03;0.00;0.00;0.00;0.00;0.00;99.86
sun;600;2023-08-04 04:00:01 UTC;2;0.02;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.94
sun;600;2023-08-04 04:00:01 UTC;3;0.04;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.92
sun;600;2023-08-04 04:10:01 UTC;-1;0.03;0.00;0.06;0.02;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-04 04:10:01 UTC;0;0.04;0.00;0.09;0.04;0.00;0.00;0.00;0.00;0.00;99.83
sun;600;2023-08-04 04:10:01 UTC;1;0.04;0.00;0.08;0.04;0.00;0.00;0.00;0.00;0.00;99.84
sun;600;2023-08-04 04:10:01 UTC;2;0.02;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.94
sun;600;2023-08-04 04:10:01 UTC;3;0.03;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;99.94
sun;599;2023-08-04 04:20:00 UTC;-1;0.80;0.65;0.30;0.13;0.00;0.00;0.01;0.00;0.00;98.11
sun;599;2023-08-04 04:20:00 UTC;0;1.84;1.37;0.43;0.18;0.00;0.00;0.01;0.00;0.00;96.17
sun;599;2023-08-04 04:20:00 UTC;1;0.46;0.59;0.29;0.26;0.00;0.00;0.00;0.00;0.00;98.39
sun;599;2023-08-04 04:20:00 UTC;2;0.58;0.61;0.28;0.03;0.00;0.00;0.00;0.00;0.00;98.50
sun;599;2023-08-04 04:20:00 UTC;3;0.34;0.04;0.19;0.06;0.00;0.00;0.01;0.00;0.00;99.37
sun;601;2023-08-04 04:30:01 UTC;-1;0.03;0.00;0.06;0.02;0.00;0.00;0.00;0.00;0.00;99.89
sun;601;2023-08-04 04:30:01 UTC;0;0.03;0.00;0.08;0.01;0.00;0.00;0.00;0.00;0.00;99.88
sun;601;2023-08-04 04:30:01 UTC;1;0.04;0.00;0.11;0.01;0.00;0.00;0.00;0.00;0.00;99.84
sun;601;2023-08-04 04:30:01 UTC;2;0.02;0.00;0.04;0.01;0.00;0.00;0.00;0.00;0.00;99.93
sun;601;2023-08-04 04:30:01 UTC;3;0.04;0.00;0.02;0.03;0.00;0.00;0.00;0.00;0.00;99.90
sun;600;2023-08-04 04:40:01 UTC;-1;0.03;0.00;0.06;0.02;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-04 04:40:01 UTC;0;0.03;0.00;0.09;0.01;0.00;0.00;0.00;0.00;0.00;99.87
sun;600;2023-08-04 04:40:01 UTC;1;0.02;0.00;0.09;0.01;0.00;0.00;0.00;0.00;0.00;99.88
sun;600;2023-08-04 04:40:01 UTC;2;0.03;0.00;0.05;0.03;0.00;0.00;0.00;0.00;0.00;99.90
sun;600;2023-08-04 04:40:01 UTC;3;0.04;0.00;0.03;0.01;0.00;0.00;0.00;0.00;0.00;99.92
sun;600;2023-08-04 04:50:01 UTC;-1;0.03;0.00;0.06;0.01;0.00;0.00;0.00;0.00;0.00;99.90
sun;600;2023-08-04 04:50:01 UTC;0;0.02;0.00;0.08;0.02;0.00;0.00;0.00;0.00;0.00;99.88
sun;600;2023-08-04 04:50:01 UTC;1;0.03;0.00;0.04;0.01;0.00;0.00;0.00;0.00;0.00;99.92
sun;600;2023-08-04 04:50:01 UTC;2;0.04;0.00;0.05;0.01;0.00;0.00;0.00;0.00;0.00;99.90
sun;600;2023-08-04 04:50:01 UTC;3;0.04;0.00;0.06;0.01;0.00;0.00;0.00;0.00;0.00;99.90
sun;600;2023-08-04 05:00:01 UTC;-1;0.03;0.00;0.06;0.01;0.00;0.00;0.00;0.00;0.00;99.90
sun;600;2023-08-04 05:00:01 UTC;0;0.02;0.00;0.09;0.00;0.00;0.00;0.00;0.00;0.00;99.90
sun;600;2023-08-04 05:00:01 UTC;1;0.03;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;99.91
sun;600;2023-08-04 05:00:01 UTC;2;0.03;0.00;0.04;0.02;0.00;0.00;0.00;0.00;0.00;99.92
sun;600;2023-08-04 05:00:01 UTC;3;0.04;0.00;0.05;0.02;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-04 05:10:01 UTC;-1;0.03;0.00;0.06;0.01;0.00;0.00;0.00;0.00;0.00;99.90
sun;600;2023-08-04 05:10:01 UTC;0;0.01;0.00;0.09;0.00;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-04 05:10:01 UTC;1;0.02;0.00;0.07;0.00;0.00;0.00;0.00;0.00;0.00;99.91
